Latitude,Longitude
16.063833,75.924106
15.899076,75.932457
16.09851,75.857045
15.985381,75.870481
16.097321,75.948619
16.093687,75.864756
16.056013,75.958237
16.135706,75.917571
16.099348,75.850158
16.135827,75.919221
16.070608,75.959307
16.092199,75.869606
16.092257,75.867214
15.93417,75.879748
16.061612,75.925439
16.092431,75.865433
16.083886,75.904352
16.087244,75.897017
16.055873,75.945902
16.056978,75.943648
16.056844,75.975132
16.083766,75.904571
16.111022,75.890406
16.091968,75.873126
16.097865,75.860943
16.056743,75.942516
15.950164,75.952384
16.058025,75.938222
15.961122,75.915606
16.089249,75.869187
15.928872,75.881013
16.098729,75.855943
16.057126,75.946552
16.073867,75.959665
15.986975,75.90059
16.064087,75.924273
16.138377,75.91619
16.082721,75.906887
16.092219,75.873248
15.933968,75.884584
16.074873,75.921105
15.934318,75.879312
15.934547,75.886343
16.129189,75.952133
16.10885,75.923789
16.061427,75.869575
16.11368,75.876216
16.057654,75.9385
16.055584,75.947107
16.056977,75.97667
16.080778,75.910941
16.070342,75.924306
16.058068,75.94061
16.06321,75.924546
16.05429,75.869788
16.056537,75.943641
15.928153,75.9214
15.960983,75.860088
15.939462,75.869741
15.938216,75.871288
16.082387,75.907454
15.935512,75.897026
16.057807,75.990067
16.058792,75.933702
16.137448,75.89697
16.033559,75.844868
15.964185,75.966383
16.059462,75.930457
16.075308,75.920707
15.911742,75.928245
16.081628,75.873983
16.058391,75.935628
15.938607,75.915447
16.078679,75.915618
16.086508,75.898677
16.139668,75.91741
16.082332,75.907499
16.093941,75.86463
16.098566,75.856632
16.002639,75.902538
16.099255,75.850884
15.935777,75.916076
16.092248,75.865578
16.036786,75.871039
16.092121,75.873383
16.054944,75.950843
16.064731,75.923941
16.073642,75.92228
16.055146,75.953317
16.03669,75.935767
16.129182,75.952067
16.013492,75.884934
16.092348,75.86783
16.096861,75.862252
16.089249,75.868983
16.087535,75.895879
16.103525,75.864459
15.929906,75.893596
16.057933,75.995736
16.092349,75.867658
16.104667,75.865067
15.9188,75.925696
15.936715,75.905255
16.09239,75.867766
16.093841,75.864704
15.940121,75.911959
16.079447,75.914303
16.052139,75.943097
16.045729,75.938774
16.058228,75.936228
16.065588,75.924162
15.253212,75.123252
16.075538,75.964201
15.878656,75.966762
16.099589,75.8483479
16.057778,75.9381619
16.092244,75.868776
16.057992,75.998305
16.057254,75.981838
16.056628,75.970516
16.087311,75.896982
16.057404,75.93612
16.026003,75.881741
16.098799,75.854683
16.123265,75.321256
15.892741,75.581578
15.851545,75.698028
15.976847,75.695051
15.929347,75.676761
15.890557,75.469797
15.96597,75.676762
15.909587,75.501692
15.90917,75.581319
15.875367,75.731803
15.915299,75.671588
15.921427,75.678828
15.900279,75.496895
